X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
ARISA_570.1	ARISA_828.8	-0.265103	-0.265103	-0.265103	25	25	56	0	0.045520	-0.068455	0.459455	-0.068455	0.459455	0	-0.120947	0.190105	-0.120947	0.190105	0	0.140577	0.083599	0.009329	0.127597	0.003798	7	20
ARISA_570.1	ARISA_831.8	-0.302892	-0.302892	-0.302892	23	23	97	0	0.011557	-0.163605	0.075423	-0.180138	0.050942	-1	-0.133844	0.146726	-0.223189	0.015125	-1	0.047589	0.022856	0.001787	0.105643	0.000582	7	21
ARISA_573.6	ARISA_594.1	0.252168	0.252168	0.252168	58	59	26	-1	0.069822	0.145943	0.113254	0.145943	0.113254	0	0.120599	0.191395	0.120599	0.191395	0	0.195502	0.031625	0.003349	0.127597	0.003798	8	9
ARISA_573.6	ARISA_662	0.192218	0.192218	0.192218	8	9	102	-1	0.369920	0.110133	0.233120	0.222884	0.015268	-1	0.141830	0.123892	0.211734	0.021352	-1	0.693600	0.053797	0.000773	0.094494	0.000735	8	10
ARISA_573.6	ARISA_666.4	0.112581	0.112581	0.112581	18	18	89	0	0.987239	0.100714	0.275784	0.100714	0.275784	0	0.118510	0.199255	0.127809	0.167820	-1	1.000000	0.058677	0.006197	0.131860	0.003496	8	11
ARISA_573.6	ARISA_667.6	0.109670	0.109670	0.109670	7	6	104	1	0.991155	-0.059344	0.521461	0.089344	0.335989	1	-0.020285	0.826673	0.095506	0.303585	1	1.000000	0.089907	0.007149	0.384456	0.005591	8	12
ARISA_573.6	ARISA_670.5	0.069742	0.069742	0.069742	16	16	91	0	1.000000	0.033180	0.720169	0.033180	0.720169	0	0.037187	0.688034	0.166878	0.070896	1	1.000000	0.112611	0.013783	0.334719	0.001861	8	13
ARISA_573.6	ARISA_676.9	-0.235576	-0.235576	-0.235576	43	42	70	1	0.117135	-0.105422	0.253843	-0.184095	0.045979	1	-0.115039	0.212831	-0.146235	0.114082	1	0.282740	0.055995	0.001673	0.136820	0.002678	8	14
ARISA_573.6	ARISA_679.4	0.274422	0.274422	0.274422	7	6	107	1	0.033105	0.088857	0.336559	0.212655	0.020781	1	0.054781	0.554036	0.160222	0.083070	-1	0.110350	0.068221	0.000955	0.281713	0.002130	8	15
ARISA_573.6	ARISA_682.4	-0.347372	-0.347372	-0.347372	8	8	112	0	0.001807	-0.340261	0.000153	-0.340261	0.000153	0	-0.280449	0.002006	-0.280449	0.002006	0	0.009728	0.000162	0.000021	0.004880	0.000157	8	16
ARISA_573.6	ARISA_686.9	0.167458	0.167458	0.167458	43	44	70	-1	0.606139	0.068404	0.459794	0.200513	0.029473	-1	0.013930	0.880477	0.128173	0.166600	-1	0.986738	0.083599	0.001191	0.396412	0.003493	8	17
ARISA_573.6	ARISA_689.8	0.284423	0.284423	0.284423	24	24	83	0	0.023043	0.180639	0.049305	0.180639	0.049305	0	0.277802	0.002221	0.277802	0.002221	0	0.084896	0.016255	0.001745	0.005126	0.000165	8	18
ARISA_573.6	ARISA_729.4	-0.374999	-0.374999	-0.374999	2	1	111	1	0.000518	-0.213191	0.019916	-0.312295	0.000576	1	-0.142702	0.121573	-0.211269	0.021646	1	0.003748	0.009112	0.000061	0.094184	0.000736	8	19
ARISA_573.6	ARISA_828.8	-0.204936	-0.204936	-0.204936	23	23	40	0	0.271738	-0.023742	0.797721	-0.062089	0.504181	1	-0.034700	0.707918	-0.045923	0.621444	1	0.548703	0.118082	0.010041	0.340709	0.010105	8	20
ARISA_573.6	ARISA_831.8	-0.436738	-0.436738	-0.436738	24	24	96	0	0.000023	-0.280891	0.001972	-0.280891	0.001972	0	-0.201701	0.027826	-0.223555	0.014955	-1	0.000325	0.001309	0.000161	0.030173	0.000582	8	21
ARISA_594.1	ARISA_662	0.132590	0.132590	0.132590	59	59	30	0	0.913968	0.083987	0.363814	0.103585	0.264314	1	0.021888	0.813221	0.109510	0.237810	-1	1.000000	0.070873	0.006033	0.381197	0.004609	9	10
ARISA_594.1	ARISA_666.4	0.094833	0.094833	0.094833	57	56	61	1	0.999493	0.031551	0.733379	0.105568	0.255230	1	0.036278	0.695282	0.058563	0.528740	-1	1.000000	0.112611	0.005934	0.336427	0.008812	9	11
ARISA_594.1	ARISA_667.6	-0.231846	-0.231846	-0.231846	6	6	87	0	0.130716	-0.201537	0.027955	-0.201537	0.027955	0	-0.243369	0.007652	-0.243369	0.007652	0	0.305004	0.011039	0.001165	0.011290	0.000364	9	12
ARISA_594.1	ARISA_670.5	-0.115112	-0.115112	-0.115112	27	27	59	0	0.982152	-0.082970	0.369669	0.100146	0.280588	1	-0.106759	0.247840	-0.106759	0.247840	0	1.000000	0.071549	0.006232	0.155983	0.004775	9	13
ARISA_594.1	ARISA_676.9	-0.361022	-0.361022	-0.361022	15	14	92	1	0.000977	-0.258605	0.004515	-0.278352	0.002273	1	-0.249742	0.006160	-0.282582	0.001933	1	0.006622	0.002656	0.000178	0.010127	0.000157	9	14
ARISA_594.1	ARISA_679.4	-0.282784	-0.282784	-0.282784	11	10	100	1	0.024635	-0.203232	0.026638	-0.226094	0.013823	1	-0.238030	0.009140	-0.238030	0.009140	0	0.086222	0.011039	0.000728	0.012726	0.000420	9	15
ARISA_594.1	ARISA_682.4	-0.227996	-0.227996	-0.227996	40	40	67	0	0.145579	-0.195428	0.033176	-0.195428	0.033176	0	-0.187466	0.041194	-0.187466	0.041194	0	0.332299	0.012598	0.001327	0.041194	0.001205	9	16
ARISA_594.1	ARISA_686.9	0.161271	0.161271	0.161271	8	8	105	0	0.671749	0.207384	0.023631	0.207384	0.023631	0	0.237860	0.009191	0.237860	0.009191	0	1.000000	0.010204	0.001047	0.012726	0.000420	9	17
ARISA_594.1	ARISA_689.8	0.241654	0.241654	0.241654	6	7	112	-1	0.096222	0.029308	0.751694	0.204512	0.026320	-1	0.102587	0.266910	0.207252	0.024330	-1	0.252582	0.113321	0.001132	0.162681	0.000780	9	18
ARISA_594.1	ARISA_729.4	-0.381810	-0.381810	-0.381810	8	8	99	0	0.000365	-0.290597	0.001346	-0.290597	0.001346	0	-0.200966	0.028412	-0.220152	0.016599	1	0.002952	0.001009	0.000125	0.030341	0.000615	9	19
ARISA_594.1	ARISA_828.8	0.263643	0.263643	0.263643	45	44	40	1	0.046966	-0.031020	0.737703	0.110104	0.235262	1	-0.057008	0.538010	-0.089739	0.333851	-1	0.142939	0.112611	0.005703	0.278281	0.006015	9	20
ARISA_594.1	ARISA_831.8	-0.462376	-0.462376	-0.462376	8	9	101	-1	0.000006	-0.238127	0.009111	-0.307531	0.000705	-1	-0.196699	0.032027	-0.236649	0.009878	-1	0.000107	0.004555	0.000072	0.032754	0.000439	9	21
