VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc
Cyanobacteria,Unassigned.1,0.3574666311588954,6.893212682563662e-9,1.1737091864905695e-8,0.3574666311588954,6.893212682563662e-9,1.1737091864905695e-8,0.8302369883106429,0,0
Firmicutes,Unassigned.1,0.6147699338706872,3.594795616517139e-27,1.5986267565217396e-26,0.6147699338706872,3.594795616517139e-27,1.5986267565217396e-26,0.49160914070233586,0,0
Euryarchaeota,Unassigned.1,0.7187218551582915,1.0516272403007274e-40,7.950301936673499e-40,0.7187218551582915,1.0516272403007274e-40,7.950301936673499e-40,0.22404098411817475,0.03200000000000003,0.050823529411764747
Actinobacteria,Unassigned.1,0.6846152862732452,1.2178977397903924e-35,7.802802468487598e-35,0.6846152862732452,1.2178977397903924e-35,7.802802468487598e-35,0.31650700920355673,0.03400000000000003,0.05310743801652897
Bacteroidetes,Unassigned.1,0.6292625839852152,9.43279231641276e-29,4.630643500784446e-28,0.6292625839852152,9.43279231641276e-29,4.630643500784446e-28,0.8494182590410657,0,0
Proteobacteria,Unassigned.1,0.8303299369581789,2.0823393488438083e-64,2.4597633558217485e-63,0.8303299369581789,2.0823393488438083e-64,2.4597633558217485e-63,0.9369499885122172,0,0
Unassigned.1,Verrucomicrobia,0.70183920305194325,4.153389568180705e-38,2.9622287863628426e-37,0.70183920305194325,4.153389568180705e-38,2.9622287863628426e-37,0.3248764568692673,0.0040000000000000036,0.007375609756097568
Unassigned.1,Unassigned.1,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1
Chlamydiae,SBR1093,0.15567146709200194,0.01412333569548366,0.016226811224598247,0.15567146709200194,0.01412333569548366,0.016226811224598247,0.14375939278603145,0.006000000000000005,0.010851674641148334
Chlamydiae,Cyanobacteria,0.10712434412977764,0.09231311158951185,0.10180924560019707,0.10712434412977764,0.09231311158951185,0.10180924560019707,0.35039608996322424,0,0
Chlamydiae,Firmicutes,0.35130892711133144,1.294699622834043e-8,2.1464756904880185e-8,0.35130892711133144,1.294699622834043e-8,2.1464756904880185e-8,0.14613004382847147,0,0
